1;0,003;0,003;0,005;0,005
2;0,002;0,002;0,004;0,004
3;0,002;0,003;0,004;0,004
4;0,003;0,003;0,005;0,005
5;0,003;0,004;0,005;0,005
6;0,002;0,004;0,006;0,005
7;0,003;0,003;0,005;0,005
8;0,003;0,004;0,005;0,005
9;0,002;0,005;0,005;0,004
10;0,003;0,006;0,006;0,005
11;0,002;0,009;0,011;0,011
12;0,002;0,013;0,006;0,005
13;0,003;0,018;0,007;0,005
14;0,003;0,028;0,007;0,005
15;0,002;0,044;0,007;0,005
16;0,002;0,07;0,007;0,005
17;0,003;0,112;0,007;0,005
18;0,003;0,228;0,008;0,005
19;0,002;0,289;0,008;0,005
20;0,002;0,466;0,008;0,005
21;0,002;0,752;0,009;0,005
22;0,002;0,882;0,008;0,005
23;0,003;0,448;0,009;0,005
24;0,003;0,727;0,009;0,005
25;0,003;1,176;0,009;0,005
26;0,003;1,904;0,014;0,01
27;0,002;3,45;0,01;0,006
28;0,003;4,99;0,009;0,005
29;0,003;8,064;0,009;0,005
30;0,003;13,045;0,01;0,005
31;0,003;21,08;0,01;0,006
32;0,003;34,24;0,011;0,005
33;0,003;55,296;0,01;0,005
34;0,003;89,356;0,011;0,005
35;0,003;144,535;0,011;0,006
36;0,003;236,215;0,011;0,005
37;0,003;379,06;0,011;0,005
38;0,003;613,392;0,012;0,005
39;0,003;;0,012;0,005
40;0,003;;0,017;0,01
41;0,003;;0,012;0,005
42;0,003;;0,012;0,006
43;0,003;;0,012;0,005
44;0,003;;0,012;0,005
45;0,003;;0,013;0,005
46;0,003;;0,013;0,005
47;0,003;;0,014;0,005
48;0,003;;0,014;0,006
49;0,003;;0,014;0,005
50;0,003;;0,014;0,005
51;0,003;;0,014;0,006
52;0,003;;0,014;0,006
53;0,003;;0,014;0,005
54;0,003;;0,019;0,01
55;0,003;;0,015;0,005
56;0,003;;0,015;0,006
57;0,003;;0,016;0,006
58;0,003;;0,016;0,005
59;0,003;;0,016;0,005
60;0,003;;0,016;0,006
61;0,003;;0,017;0,006
62;0,003;;0,017;0,005
63;0,004;;0,017;0,005
64;0,003;;0,017;0,006
65;0,003;;0,018;0,005
66;0,003;;0,017;0,005
67;0,003;;0,018;0,006
68;0,004;;0,022;0,011
69;0,003;;0,018;0,005
70;0,003;;0,018;0,005
71;0,003;;0,019;0,006
72;0,003;;0,018;0,006
73;0,003;;0,018;0,006
74;0,003;;0,019;0,006
75;0,004;;0,019;0,006
76;0,003;;0,02;0,006
77;0,004;;0,021;0,005
78;0,003;;0,02;0,005
79;0,004;;0,02;0,006
80;0,003;;0,021;0,006
81;0,003;;0,02;0,005
82;0,004;;0,025;0,01
83;0,003;;0,021;0,006
84;0,004;;0,021;0,006
85;0,003;;0,021;0,006
86;0,004;;0,022;0,005
87;0,004;;0,022;0,005
88;0,003;;0,053;0,006
89;0,004;;0,022;0,006
90;0,004;;0,023;0,006
